Day,일,module,Magento_Catalog,,,,,
Days,일,module,Magento_CatalogEvent,,,,,
Day,일,module,Magento_Reports,,,,,
Interface Locale,인터페이스 언어,module,Magento_Backend,,,,,
Interface Locale,인터페이스 언어,module,Magento_User,,,,,
Incoterm2,인코텀2,lib,web,,,,,
Incoterm1,인코텀1,lib,web,,,,,
Authorizing,인증중,module,Magento_Braintree,,,,,
Authorization expired,인증이 만료됨,module,Magento_Braintree,,,,,
Algorithm to sign/encrypt JWTs used for authentication,인증에 사용되는 JWT 서명/암호화 알고리즘,lib,web,,,,,
Authorize Only,인증만,module,Magento_Authorizenet,,,,,
Authorize Only,인증만,module,Magento_AuthorizenetAcceptjs,,,,,
Authorize Only,인증만,module,Magento_Cybersource,,,,,
Authorize Only,인증만,module,Magento_Eway,,,,,
Authorized,인증됨,module,Magento_Braintree,,,,,
Authorized,인증됨,module,Magento_Rma,,,,,
Authorize and Capture,인증과 캡쳐,module,Magento_Authorizenet,,,,,
Authorize and Capture,인증과 캡쳐,module,Magento_AuthorizenetAcceptjs,,,,,
Authorize and Capture,인증과 캡쳐,module,Magento_Braintree,,,,,
Authorize and Capture,인증과 캡쳐,module,Magento_Cybersource,,,,,
Authorize and Capture,인증과 캡쳐,module,Magento_Eway,,,,,
Authorize and Capture,인증과 캡쳐,module,Magento_Worldpay,,,,,
Generate Auth Token Endpoint,인증 토큰 엔드포인트 생성,lib,web,,,,,
Generate Auth Token Username,인증 토큰 사용자 이름 생성,lib,web,,,,,
Generate Auth Token Password,인증 토큰 비밀번호 생성,lib,web,,,,,
Authentication storage is incorrect.,인증 저장소가 잘못되었습니다.,module,Magento_Backend,,,,,
Authentication Locks,인증 잠금,module,Magento_Integration,,,,,
Certification structure type,인증 구조 유형,lib,web,,,,,
authorize,인증,module,Magento_Authorizenet,,,,,
Authorize,인증,module,Magento_Braintree,,,,,
Authorize,인증,module,Magento_Cybersource,,,,,
Authorize,인증,module,Magento_Worldpay,,,,,
Certification,인증,lib,web,,,,,
Quote,인용하기,lib,web,,,,,
Quotes,인용 부호,module,Magento_NegotiableQuote,,,,,
Quotes,인용 부호,lib,web,,,,,
Unrecognized,인식안됨,module,Magento_Braintree,,,,,
Default Price for Printed Card,인쇄된 카드의 기본 가격,module,Magento_GiftWrapping,,,,,
Allow Printed Card,인쇄된 카드 허용,module,Magento_GiftWrapping,,,,,
Add Printed Card,인쇄된 카드 추가,lib,web,,,,,
Display Printed Card Prices,인쇄된 카드 가격 표시,module,Magento_GiftWrapping,,,,,
Translate Inline,인라인 번역,module,Magento_Backend,,,,,
inline,인라인,module,Magento_Downloadable,,,,,
Inline,인라인,lib,web,,,,,
Enable/Disable Product EAV indexer to improve indexation speed. Make sure that indexer is not used by 3rd party extensions.,인덱싱 속도를 향상하려면 제품 EAV 인덱서를 활성화/비활성화하세요. 타사 확장 프로그램에서 인덱서를 사용하지 않는지 확인하세요.,lib,web,,,,,
Index Management,인덱스 관리,module,Magento_Logging,,,,,
Popular Search Terms,인기있는 검색어,module,Magento_CatalogSearch,,,,,
Generate Human-Friendly Customer ID,인간 친화적인 고객 ID 생성,lib,web,,,,,
Allow Anonymous Guest Access,익명 게스트 액세스 허용,module,Magento_WebapiSecurity,,,,,
Less than or equal to,이하,module,Magento_VisualMerchandiser,,,,,
You will no longer receive stock alerts for this product.,이제부터 해당 상품의 재고에 대한 알림을 받아보지 않습니다.,module,Magento_ProductAlert,,,,,
You will no longer receive price alerts for this product.,이제부터 해당 상품에 대한 가격 알림을 받아보지 않습니다.,module,Magento_ProductAlert,,,,,
Previous page,이전 페이지,module,Magento_Backend,,,,,
Previous page,이전 페이지,module,Magento_VisualMerchandiser,,,,,
Old Requested,이전 요청됨,lib,web,,,,,
Create Permanent Redirect for old URL,이전 URL에 대한 영구 리디렉션 생성,module,Magento_CatalogUrlRewrite,,,,,
Back,이전,module,Magento_AdvancedCheckout,,,,,
Back,이전,module,Magento_AsynchronousOperations,,,,,
Back,이전,module,Magento_Backend,,,,,
Previous,이전,module,Magento_Backend,,,,,
Back,이전,module,Magento_Braintree,,,,,
Back,이전,module,Magento_Catalog,,,,,
Prev,이전,module,Magento_Catalog,,,,,
Previous,이전,module,Magento_CatalogEvent,,,,,
Back,이전,module,Magento_CatalogRule,,,,,
Back,이전,module,Magento_Cms,,,,,
Back,이전,module,Magento_Company,,,,,
Back,이전,module,Magento_Customer,,,,,
Back,이전,module,Magento_CustomerCustomAttributes,,,,,
Back,이전,module,Magento_CustomerSegment,,,,,
Back,이전,module,Magento_Downloadable,,,,,
Back,이전,module,Magento_Email,,,,,
Back,이전,module,Magento_GiftRegistry,,,,,
Back,이전,module,Magento_Invitation,,,,,
Previous,이전,module,Magento_LayeredNavigation,,,,,
Back,이전,module,Magento_Logging,,,,,
Back,이전,module,Magento_MultipleWishlist,,,,,
Back,이전,module,Magento_NegotiableQuote,,,,,
Back,이전,module,Magento_Newsletter,,,,,
Back,이전,module,Magento_Paypal,,,,,
Previous,이전,module,Magento_Review,,,,,
Back,이전,module,Magento_Review,,,,,
Back,이전,module,Magento_Reward,,,,,
Back,이전,module,Magento_Rma,,,,,
Back,이전,module,Magento_Sales,,,,,
Back,이전,module,Magento_SalesRule,,,,,
Back,이전,module,Magento_Search,,,,,
Back,이전,module,Magento_SendFriend,,,,,
Back,이전,module,Magento_SharedCatalog,,,,,
Back,이전,module,Magento_Staging,,,,,
Back,이전,module,Magento_Support,,,,,
Back,이전,module,Magento_Tax,,,,,
Back,이전,module,Magento_Theme,,,,,
Previous,이전,module,Magento_Theme,,,,,
Back,이전,module,Magento_Ui,,,,,
Back,이전,module,Magento_UrlRewrite,,,,,
Back,이전,module,Magento_User,,,,,
Previous,이전,module,Magento_VersionsCms,,,,,
Back,이전,module,Magento_Wishlist,,,,,
Previous,이전,theme,frontend/Magento/luma,,,,,
Previous,이전,lib,web,,,,,
Select Reason,이유 선택,lib,web,,,,,
Backorders,이월 주문,lib,web,,,,,
Please agree to all Terms and Conditions before placing the order.,이용약관에 동의하신 후 계속해주세요.,module,Magento_Multishipping,,,,,
Please agree to all the terms and conditions before placing the order.,이용약관에 동의하신 후 계속해주세요.,module,Magento_Braintree,,,,,
Enable Terms and Conditions,이용약관 활성화,module,Magento_CheckoutAgreements,,,,,
Terms and Conditions Information,이용약관 정보,module,Magento_CheckoutAgreements,,,,,
Edit Terms and Conditions,이용약관 수정,module,Magento_CheckoutAgreements,,,,,
Terms and Conditions,이용약관,module,Magento_CheckoutAgreements,,,,,
Terms & Conditions,이용약관,module,Magento_CheckoutAgreements,,,,,
Greater than or equal to,이상,module,Magento_VisualMerchandiser,,,,,
You saved the event.,이벤트를 저장했습니다.,module,Magento_CatalogEvent,,,,,
You deleted the event.,이벤트를 삭제했습니다.,module,Magento_CatalogEvent,,,,,
Add Event,이벤트 추가,module,Magento_CatalogEvent,,,,,
Something went wrong while saving this event.,이벤트 저장중 문제가 발생했습니다.,module,Magento_CatalogEvent,,,,,
Events to Scroll per Click in Event Slider Widget,이벤트 슬라이더 위젯에서 클릭당 스크롤할 이벤트,lib,web,,,,,
Number of Events to be Displayed in Event Slider Widget,이벤트 슬라이더 위젯에 표시할 이벤트 수,lib,web,,,,,
Edit Event,이벤트 수정,module,Magento_CatalogEvent,,,,,
Event list,이벤트 목록,lib,web,,,,,
Events,이벤트,module,Magento_CatalogEvent,,,,,
Events,이벤트,module,Magento_Support,,,,,
Event,이벤트,lib,web,,,,,
Current Month Starts,이번 달 시작,lib,web,,,,,
Current Month,이번 달,module,Magento_Backend,,,,,
Display title on the image.,이미지에 제목을 표시합니다.,lib,web,,,,,
We did not upload your image.,이미지를 업로드할 수 없습니다.,module,Magento_CatalogEvent,,,,,
Please leave blank if it is not an image.,이미지가 아니면 빈칸으로 두십시오.,module,Magento_Catalog,,,,,
Image Resolution,이미지 해상도,module,Magento_Catalog,,,,,
Image Resolution,이미지 해상도,module,Magento_ConfigurableProduct,,,,,
Image Resolution,이미지 해상도,module,Magento_ProductVideo,,,,,
Image Opacity,이미지 투명도,module,Magento_Catalog,,,,,
The image cache was cleaned.,이미지 캐시를 비웠습니다.,module,Magento_Backend,,,,,
An error occurred while clearing the image cache.,이미지 캐시를 비우는 도중 에러가 발생했습니다.,module,Magento_Backend,,,,,
Images Cache,이미지 캐시,module,Magento_Backend,,,,,
Enable Image Optimization,이미지 최적화 활성화,lib,web,,,,,
Image Processing Settings,이미지 처리 설정,module,Magento_Backend,,,,,
Image Position,이미지 위치,module,Magento_Catalog,,,,,
Images Upload Configuration,이미지 업로드 구성,module,Magento_Backend,,,,,
Upload Image,이미지 업로드,module,Magento_ConfigurableProduct,,,,,
Upload image,이미지 업로드,module,Magento_ConfigurableProduct,,,,,
Image Adapter,이미지 어댑터,module,Magento_Backend,,,,,
Image sequence number,이미지 시퀀스 번호,lib,web,,,,,
Image Detail,이미지 상세,module,Magento_Catalog,,,,,
Insert Images...,이미지 삽입...,module,Magento_Ui,,,,,
Delete image,이미지 삭제,module,Magento_Catalog,,,,,
Delete Image,이미지 삭제,module,Magento_Customer,,,,,
Delete image,이미지 삭제,module,Magento_ProductVideo,,,,,
Delete Image,이미지 삭제,module,Magento_Rma,,,,,
Delete Images,이미지 삭제,lib,web,,,,,
Image Size,이미지 사이즈,module,Magento_Catalog,,,,,
Image Size,이미지 사이즈,module,Magento_ConfigurableProduct,,,,,
Image Size,이미지 사이즈,module,Magento_ProductVideo,,,,,
Image classification code,이미지 분류 코드,lib,web,,,,,
Images And Videos,이미지 및 비디오,module,Magento_ProductVideoStaging,,,,,
Something went wrong while getting the image url.,이미지 URL을 가져오는중 문제가 발생했습니다.,module,Magento_Catalog,,,,,
"Images (.gif, .jpg, .png)","이미지 (.gif, .jpg, .png)",module,Magento_Backend,,,,,
"Images (.gif, .jpg, .png)","이미지 (.gif, .jpg, .png)",module,Magento_Catalog,,,,,
Images (%1),이미지 (%1),module,Magento_Cms,,,,,
The maximum allowed image size for '%1' is %2x%3 px.,이미지 '%1'의 최대 사이즈는 %2x%3 px 입니다.,module,Magento_Catalog,,,,,
Images,이미지,module,Magento_Backend,,,,,
Images,이미지,module,Magento_Catalog,,,,,
Image,이미지,module,Magento_Catalog,,,,,
Image,이미지,module,Magento_CatalogEvent,,,,,
Images,이미지,module,Magento_CatalogStaging,,,,,
Image,이미지,module,Magento_ConfigurableProduct,,,,,
Images,이미지,module,Magento_ConfigurableProduct,,,,,
Image,이미지,module,Magento_GiftWrapping,,,,,
"If you have an account, sign in with your email address.",이미 회원가입하셨다면 이메일주소로 로그인하세요.,module,Magento_Customer,,,,,
Customer is already registered,이미 가입된 고객입니다.,module,Magento_Checkout,,,,,
You already have an account with us. Sign in or continue as guest.,이미 가입된 계정입니다. 로그인하시거나 손님으로 계속하세요.,module,Magento_Checkout,,,,,
Please enter an email address.,이메일주소를 입력해주세요.,module,Magento_User,,,,,
Please enter an email address.,이메일주소를 입력해주세요.,module,Magento_Wishlist,,,,,
Signed up for newsletter with email %1,이메일주소 %1로 뉴스레터 받아보기,module,Magento_Reward,,,,,
Email has not been sent,이메일이 전송되지 않았습니다.,module,Magento_Sales,,,,,
Email has not been sent,이메일이 전송되지 않았습니다.,module,Magento_Shipping,,,,,
Require email confirmation if email has been changed,이메일이 변경된 경우 이메일 확인 필요,lib,web,,,,,
Display Prices In Emails,이메일의 가격 표시,module,Magento_Weee,,,,,
Please enter your email.,이메일을 입력해 주십시오.,module,Magento_Customer,,,,,
Please check your email for confirmation key.,이메일에 확인 키가 있는지 확인하십시오.,module,Magento_Customer,,,,,
Email:,이메일:,module,Magento_Customer,,,,,
Email:,이메일:,module,Magento_Theme,,,,,
Email:,이메일:,theme,frontend/Magento/luma,,,,,
"You can find and edit rule label and descriptions, per store view, in email templates.",이메일 템플릿에서 매장 보기별로 규칙 라벨과 설명을 찾고 편집할 수 있습니다.,module,Magento_Reminder,,,,,
Change Email Template,이메일 템플릿 변경,lib,web,,,,,
Email Template,이메일 템플릿,module,Magento_Contact,,,,,
Email Templates,이메일 템플릿,module,Magento_Email,,,,,
Email Template,이메일 템플릿,module,Magento_GiftCard,,,,,
Email Template,이메일 템플릿,module,Magento_GiftRegistry,,,,,
Email Templates,이메일 템플릿,module,Magento_Reminder,,,,,
Email Templates,이메일 템플릿,module,Magento_SendFriend,,,,,
Email Template,이메일 템플릿,module,Magento_Wishlist,,,,,
Email Template,이메일 템플릿,lib,web,,,,,
Email Text Length Limit,이메일 텍스트 길이 제한,lib,web,,,,,
Please enter your email address below to receive a password reset link.,이메일 주소를 입력해 주십시오. 비밀번호를 재설정할 수 있는 링크가 고객님의 이메일로 전송됩니다.,module,Magento_Customer,,,,,
Enter your email address. You will receive an email with a link to reset your password.,이메일 주소를 입력하세요. 비밀번호를 재설정할 수 있는 링크가 고객님의 이메일로 보내집니다.,module,Magento_User,,,,,
Enter your email address,이메일 주소를 입력하세요,module,Magento_Newsletter,,,,,
Email Address:,이메일 주소:,module,Magento_Company,,,,,
Email,이메일 주소,module,Magento_Backend,,,,,
Email,이메일 주소,module,Magento_Catalog,,,,,
Email Address,이메일 주소,module,Magento_Checkout,,,,,
Email,이메일 주소,module,Magento_Company,,,,,
Email,이메일 주소,module,Magento_Contact,,,,,
Email,이메일 주소,module,Magento_CustomAttributeManagement,,,,,
Email,이메일 주소,module,Magento_Customer,,,,,
Email Address,이메일 주소,module,Magento_Customer,,,,,
Email,이메일 주소,module,Magento_CustomerCustomAttributes,,,,,
Email,이메일 주소,module,Magento_CustomerSegment,,,,,
Email,이메일 주소,module,Magento_Eav,,,,,
Emails,이메일 주소,module,Magento_GiftRegistry,,,,,
Email,이메일 주소,module,Magento_GiftRegistry,,,,,
Email,이메일 주소,module,Magento_Integration,,,,,
Email,이메일 주소,module,Magento_Invitation,,,,,
Email,이메일 주소,module,Magento_Logging,,,,,
Email,이메일 주소,module,Magento_Newsletter,,,,,
Email,이메일 주소,module,Magento_Paypal,,,,,
Email,이메일 주소,module,Magento_Reminder,,,,,
Email,이메일 주소,module,Magento_Reports,,,,,
Email Address,이메일 주소,module,Magento_Rma,,,,,
Email,이메일 주소,module,Magento_Rma,,,,,
Email,이메일 주소,module,Magento_Sales,,,,,
Email,이메일 주소,module,Magento_SalesArchive,,,,,
Email,이메일 주소,module,Magento_SendFriend,,,,,
Email,이메일 주소,module,Magento_Support,,,,,
Email,이메일 주소,module,Magento_User,,,,,
Email address,이메일 주소,module,Magento_User,,,,,
Email Order Confirmation,이메일 주문 확인,lib,web,,,,,
Email Send Failure Threshold,이메일 전송 실패 임계값,module,Magento_Reminder,,,,,
Send Email,이메일 전송,module,Magento_Sales,,,,,
Send Email,이메일 전송,module,Magento_SendFriend,,,,,
Require Emails Confirmation,이메일 인증 필요,module,Magento_Customer,,,,,
Email Verification,이메일 인증,module,Magento_Eway,,,,,
Email Options - Company Registration,이메일 옵션 - 회사 등록,module,Magento_Company,,,,,
Email Options,이메일 옵션,module,Magento_Contact,,,,,
Email Notification Settings,이메일 알림 설정,module,Magento_Reward,,,,,
Email Reminders,이메일 알림,module,Magento_Reminder,,,,,
Email Reminders,이메일 알림,lib,web,,,,,
Failed Email Receiver,이메일 수신 실패,module,Magento_ScheduledImportExport,,,,,
Email Sender,이메일 송신자,module,Magento_Contact,,,,,
Email Sender,이메일 송신자,module,Magento_Customer,,,,,
Email Sender,이메일 송신자,module,Magento_GiftRegistry,,,,,
Email Sender,이메일 송신자,module,Magento_Reward,,,,,
Email Sender,이메일 송신자,module,Magento_Wishlist,,,,,
Disable Email Communications,이메일 사용 비활성화,module,Magento_Backend,,,,,
Forgot Password Email Template,이메일 분실 템플릿,module,Magento_Backend,,,,,
Forgot Email Template,이메일 분실 템플릿,module,Magento_Customer,,,,,
Send Email Copy Method,이메일 복사 방법 보내기,module,Magento_CompanyCredit,,,,,
Send Email Copy Method,이메일 복사 방법 보내기,lib,web,,,,,
Send Email Copy Method,이메일 복사 방법 보내기,lib,web,,,,,
Send Emails To,이메일 보내기,lib,web,,,,,
Change Email,이메일 변경,module,Magento_Customer,,,,,
Change Email,이메일 변경,module,Magento_CustomerCustomAttributes,,,,,
Forgot and Reset Email Sender,이메일 발신자를 잊어버린 후 재설정,lib,web,,,,,
Change Email and Password Template,이메일 및 비밀번호 템플릿 변경,lib,web,,,,,
Change Email and Password,이메일 및 비밀번호 변경,module,Magento_Customer,,,,,
Change Email and Password,이메일 및 비밀번호 변경,module,Magento_CustomerCustomAttributes,,,,,
Emails and Labels,이메일 및 라벨,module,Magento_Reminder,,,,,
Invalid login or password.,이메일 또는 비밀번호가 다릅니다.,module,Magento_Company,,,,,
Invalid login or password.,이메일 또는 비밀번호가 다릅니다.,module,Magento_Customer,,,,,
Email Customer,이메일 고객,module,Magento_Authorizenet,,,,,
Email Customer,이메일 고객,module,Magento_AuthorizenetAcceptjs,,,,,
First name is too long.,이름이 너무 깁니다.,module,Magento_Braintree,,,,,
Please enter a name.,이름을 입력해 주십시오.,module,Magento_Banner,,,,,
Please enter the first name.,이름을 입력하십시오,module,Magento_GiftRegistry,,,,,
Please enter the first name.,이름을 입력하십시오,module,Magento_Sales,,,,,
A name is required.,이름은 필수 항목 입니다.,module,Magento_Catalog,,,,,
Please enter at least 2 letters of the first name.,이름에는 최소 2글자를 입력하세요.,module,Magento_GiftRegistry,,,,,
Please enter at least 2 letters of the first name.,이름에는 최소 2글자를 입력하세요.,module,Magento_MultipleWishlist,,,,,
Name and Address Options,이름과 주소 옵션,module,Magento_Customer,,,,,
Name: A - Z,이름: 오름차순(A - Z),module,Magento_VisualMerchandiser,,,,,
Name: Z - A,이름: 내림차순(Z - A),module,Magento_VisualMerchandiser,,,,,
Name: Z to A,이름: Z부터 A까지,lib,web,,,,,
Name: A to Z,사업자등록증 상 성명,lib,web,,,,,
First Name:,사업자등록증 상 성명:,module,Magento_Company,,,,,
Name Suffix,이름 접미사,lib,web,,,,,
Name Prefix,이름 접두어,lib,web,,,,,
Update Name,이름 업데이트,module,Magento_CatalogRuleStaging,,,,,
Update Name,이름 업데이트,module,Magento_CatalogStaging,,,,,
Update Name,이름 업데이트,module,Magento_CmsStaging,,,,,
Update Name,이름 업데이트,module,Magento_SalesRuleStaging,,,,,
Update Name,이름 업데이트,module,Magento_Staging,,,,,
Name Kr,이름 Kr,lib,web,,,,,
First Name,이름,module,Magento_Backend,,,,,
Name,이름,module,Magento_Backend,,,,,
Name,이름,module,Magento_Backup,,,,,
Name,이름,module,Magento_Braintree,,,,,
First Name,이름,module,Magento_Braintree,,,,,
Name,이름,module,Magento_Bundle,,,,,
Name,이름,module,Magento_BundleStaging,,,,,
Name,이름,module,Magento_Catalog,,,,,
First Name,이름,module,Magento_Catalog,,,,,
name,이름,module,Magento_Catalog,,,,,
Name,이름,module,Magento_CatalogRuleStaging,,,,,
name,이름,module,Magento_CatalogSearch,,,,,
Name,이름,module,Magento_CatalogStaging,,,,,
Name,이름,module,Magento_CmsStaging,,,,,
First Name,이름,module,Magento_Company,,,,,
Name,이름,module,Magento_Company,,,,,
Name,이름,module,Magento_ConfigurableProduct,,,,,
Name,이름,module,Magento_ConfigurableProductStaging,,,,,
Name,이름,module,Magento_Contact,,,,,
First Name,이름,module,Magento_Customer,,,,,
Name,이름,module,Magento_Customer,,,,,
Name,이름,module,Magento_CustomerSegment,,,,,
First Name,이름,module,Magento_GiftRegistry,,,,,
Name,이름,module,Magento_GiftRegistry,,,,,
Name,이름,module,Magento_GroupedProduct,,,,,
Name,이름,module,Magento_GroupedProductStaging,,,,,
Name,이름,module,Magento_Integration,,,,,
First Name,이름,module,Magento_Invitation,,,,,
Name,이름,module,Magento_Invitation,,,,,
Name,이름,module,Magento_MultipleWishlist,,,,,
First Name,이름,module,Magento_MultipleWishlist,,,,,
Name,이름,module,Magento_NegotiableQuote,,,,,
First Name,이름,module,Magento_Paypal,,,,,
First Name,이름,module,Magento_Reports,,,,,
Name,이름,module,Magento_Reports,,,,,
Name,이름,module,Magento_Review,,,,,
First Name,이름,module,Magento_Sales,,,,,
Name,이름,module,Magento_Sales,,,,,
Name,이름,module,Magento_SalesRuleStaging,,,,,
Name,이름,module,Magento_ScheduledImportExport,,,,,
Name,이름,module,Magento_SendFriend,,,,,
Name,이름,module,Magento_SharedCatalog,,,,,
Name,이름,module,Magento_Support,,,,,
Name,이름,module,Magento_Tax,,,,,
Name,이름,module,Magento_UrlRewrite,,,,,
First Name,이름,module,Magento_User,,,,,
Name,이름,module,Magento_Variable,,,,,
Name,이름,module,Magento_VisualMerchandiser,,,,,
name,이름,module,Magento_Widget,,,,,
Name,이름,lib,web,,,,,
"These ""impulse-buy"" products appear next to the shopping cart as cross-sells to the items already in the shopping cart.","이러한 ""충동 구매"" 제품은 이미 장바구니에 있는 품목에 대한 교차 판매로 장바구니 옆에 표시됩니다.",module,Magento_Catalog,,,,,
Go to Advanced Reporting,어드밴스드 리포팅으로 이동,module,Magento_Analytics,,,,,
What's this?,이게 뭐죠?,module,Magento_AdvancedCheckout,,,,,
What is this?,이게 뭐죠?,module,Magento_Backend,,,,,
What is this?,이게 뭐죠?,module,Magento_Braintree,,,,,
What's this?,이게 뭐죠?,module,Magento_Checkout,,,,,
What's this?,이게 뭐죠?,module,Magento_Msrp,,,,,
What is this?,이게 뭐죠?,module,Magento_Payment,,,,,
What's this?,이게 뭐죠?,module,Magento_Persistent,,,,,
Did you mean,이것을 찾으셨나요?,module,Magento_AdvancedSearch,,,,,
This is used internally. Make sure you don't use spaces or more than 60 symbols.,이것은 내부적으로 사용됩니다. 공간이나 60 개 이상의 기호를 사용하지 않도록하십시오.,lib,web,,,,,
This is used internally. Make sure you don't use spaces or more than 51 symbols.,이것은 내부적으로 사용됩니다. 공간이나 51 개 이상의 기호를 사용하지 않도록하십시오.,lib,web,,,,,
Are you sure you want to delete this?,이 항목을 삭제하시겠습니까?,module,Magento_SalesRule,,,,,
We'll use the default error above if you leave this empty.,이 항목을 비워두면 위의 기본 오류가 사용됩니다.,module,Magento_Sales,,,,,
We'll use the default description above if you leave this empty.,이 항목을 비워두면 위의 기본 설명이 사용됩니다.,module,Magento_Sales,,,,,
This quote item does not exist.,이 항목은 존재 하지 않습니다.,module,Magento_Checkout,,,,,
Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.,이 필드에는 영문 대소문자와 숫자만 입력해 주십시오. 공백을 비롯한 다른 문자는 허용되지 않습니다.,module,Magento_Ui,,,,,
Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.,이 필드에는 영문 대소문자와 숫자만 입력해 주십시오. 공백을 비롯한 다른 문자는 허용되지 않습니다.,lib,web,,,,,
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","이 필드에는 영문 대소문자, 숫자, 그리고 언더바(_)만 사용할 수 있으며 첫번째 글자는 반드시 영문자이여야 합니다.",module,Magento_Ui,,,,,
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore (_) in this field, and the first character should be a letter.","이 필드에는 영문 대소문자, 숫자, 그리고 언더바(_)만 사용할 수 있으며 첫번째 글자는 반드시 영문자이여야 합니다.",lib,web,,,,,
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces in this field.","이 필드에는 영문 대소문자, 숫자, 공백만 입력해야 합니다.",module,Magento_Backup,,,,,
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","이 필드에는 영문 대소문자, 숫자, 공백만 입력해야 합니다.",module,Magento_Ui,,,,,
"Please use only letters (a-z or A-Z), numbers (0-9) or spaces only in this field.","이 필드에는 영문 대소문자, 숫자, 공백만 입력해야 합니다.",lib,web,,,,,
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","이 필드에는 영문 대소문자, 숫자, 공백, 그리고 ""#""만 입력해야 합니다.",module,Magento_Ui,,,,,
"Please use only letters (a-z or A-Z), numbers (0-9), spaces and ""#"" in this field.","이 필드에는 영문 대소문자, 숫자, 공백, 그리고 ""#""만 입력해야 합니다.",lib,web,,,,,
Please enter positive number in this field.,이 필드에는 양수를 입력해 주십시오.,module,Magento_Ui,,,,,
Please enter positive number in this field.,이 필드에는 양수를 입력해 주십시오.,lib,web,,,,,
Please use only letters (a-z or A-Z) or numbers (0-9) in this field. No spaces or other characters are allowed.,이 필드에는 문자(a-z 또는 A-Z) 또는 숫자(0-9)만 사용하십시오. 공백이나 다른 문자는 허용되지 않습니다.,lib,web,,,,,
The information in this tab has been changed.,이 탭의 정보가 변경 되었습니다.,module,Magento_Backend,,,,,
The information in this tab has been changed.,이 탭의 정보가 변경 되었습니다.,module,Magento_NegotiableQuote,,,,,
This tab contains invalid data. Please resolve this before saving.,이 탭에 잘못된 데이터가 있습니다. 문제 해결후 저장해 주십시오.,module,Magento_Backend,,,,,
This tab contains invalid data. Please resolve this before saving.,이 탭에 잘못된 데이터가 있습니다. 문제 해결후 저장해 주십시오.,module,Magento_Catalog,,,,,
This tab contains invalid data. Please resolve this before saving.,이 탭에 잘못된 데이터가 있습니다. 문제 해결후 저장해 주십시오.,module,Magento_NegotiableQuote,,,,,
This tab contains invalid data. Please resolve this before saving.,이 탭에 잘못된 데이터가 있습니다. 문제 해결후 저장해 주십시오.,module,Magento_Ui,,,,,
"We're sorry, an error has occurred while generating this content.",이 콘텐츠를 생성 하는 동안 오류가 발생 했습니다.,module,Magento_Email,,,,,
Check 'Remember Me' to access your shopping cart on this computer even if you are not signed in.,이 컴퓨터에서 로그인하지 않고도 장바구나를 확인하시려면 저장하기에 체크하세요.,module,Magento_Persistent,,,,,
Are you sure you want to discard this invitation?,이 초대를 정말 삭제하시겠습니까?,module,Magento_Invitation,,,,,
Are you sure you want to cancel this order?,이 주문을 정말로 취소하시겠습니까?,module,Magento_Sales,,,,,
There are no applicable items for return in this order.,이 주문에는 반품할 수 있는 품목이 없습니다.,lib,web,,,,,
Notes for this Order,이 주문에 대한 노트,module,Magento_Sales,,,,,
This product(s) is out of stock.,이 제품의 재고가 없습니다.,module,Magento_GiftRegistry,,,,,
This product(s) is out of stock.,이 제품의 재고가 없습니다.,module,Magento_Wishlist,,,,,
Click here to stop alerts for this product.,이 제품에 대한 알람을 중지 하려면 여기를 클릭 하십시오.,module,Magento_ProductAlert,,,,,
This action cannot be undone.,이 작업은 취소할 수 없습니다.,module,Magento_Backup,,,,,
This operation can take a long time,이 작업은 시간이 걸립니다.,module,Magento_Catalog,,,,,
This may take a few moments.,이 작업은 몇 분 정도 소요될 수 있습니다.,module,Magento_Backup,,,,,
"These arguments can't be empty ""%1""","이 인수는 비어있는 ""%1"" 될 수 없습니다.",module,Magento_Analytics,,,,,
"There is already an account with this email address. If you are sure that it is your email address, <a href=""%1"">click here</a> to get your password and access your account.","이 이메일주소를 사용하는 계정이 이미 존재합니다. 고객님의 이메일 주소가 맞다면 <a href=""%1"">,module,Magento_Customer
여기를 클릭</a>,module,Magento_Customer
하여 비밀번호를 찾을 수 있습니다.",module,Magento_Customer,,,,,
This email is sent to the company's Sales Rep and the Company Admin.,이 이메일은 회사의 영업 담당자와 회사 관리자에게 전송됩니다.,module,Magento_Company,,,,,
This email is sent when company status changes from Pending Approval to Active.,이 이메일은 회사 상태가 승인 보류에서 활성으로 변경될 때 전송됩니다.,module,Magento_Company,,,,,
This email is sent when company status changes to Pending Approval.,이 이메일은 회사 상태가 승인 보류로 변경될 때 전송됩니다.,module,Magento_Company,,,,,
This email is sent when company status changes from Rejected or Blocked to Active.,이 이메일은 회사 상태가 거부됨 또는 차단됨에서 활성으로 변경될 때 전송됩니다.,module,Magento_Company,,,,,
This email is sent to the Company Admin.,이 이메일은 회사 관리자에게 전송됩니다.,module,Magento_CompanyCredit,,,,,
